ride_name,local_date,park_name,closed_count,total_count
Slinky Dog Spin,2025-02-09,shanghaidisneyresort,24,24
Explorer Canoes,2025-02-09,shanghaidisneyresort,24,24
Kali River Rapids,2025-02-09,animalkingdom,24,24
Selfie Spot with Mickey ,2025-02-05,shanghaidisneyresort,24,24
Siren's Revenge,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Disney Jungle Characters ,2025-02-07,shanghaidisneyresort,23,23
Selfie Spot with Mickey ,2025-02-07,shanghaidisneyresort,23,23
Selfie Spot with Princesses ,2025-02-05,shanghaidisneyresort,24,24
Test Track,2025-01-27,epcot,24,24
Selfie Spot with Mickey ,2025-02-02,shanghaidisneyresort,24,24
Seven Dwarfs Mine Train Single Rider,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-01-23,shanghaidisneyresort,24,24
Selfie Spot with Disney Jungle Characters ,2025-01-27,shanghaidisneyresort,24,24
Selfie Spot with Disney Jungle Characters ,2025-01-30,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-01-31,shanghaidisneyresort,24,24
Big Thunder Mountain Railroad,2025-02-05,disneymagickingdom,24,24
Zootopia Hot Pursuit Single Rider,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Disney Jungle Characters ,2025-02-01,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-02-04,shanghaidisneyresort,22,22
Selfie Spot with Princesses ,2025-01-31,shanghaidisneyresort,24,24
Main Street Vehicles,2025-02-05,disneymagickingdom,24,24
Selfie Spot with Mickey ,2025-01-27,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-02-08,shanghaidisneyresort,24,24
Test Track,2025-01-28,epcot,23,23
Astro Orbiter,2025-01-28,disneymagickingdom,23,23
Shipwreck Shore,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-01-22,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-02-01,shanghaidisneyresort,24,24
Pirates of the Caribbean Battle for the Sunken Treasure,2025-02-09,shanghaidisneyresort,24,24
Hunny Pot Spin,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Disney Jungle Characters ,2025-01-26,shanghaidisneyresort,24,24
Become Iron Man,2025-02-09,shanghaidisneyresort,24,24
Star Wars Launch Bay Theater,2025-01-31,disneyhollywoodstudios,24,24
Selfie Spot with Princesses ,2025-01-29,shanghaidisneyresort,24,24
Main Street Vehicles,2025-02-08,disneymagickingdom,24,24
The Many Adventures of Winnie the Pooh,2025-02-09,shanghaidisneyresort,24,24
Gran Fiesta Tour Starring The Three Caballeros,2025-01-30,epcot,24,24
Selfie Spot with Princesses ,2025-01-23,shanghaidisneyresort,24,24
Main Street Vehicles,2025-02-07,disneymagickingdom,23,23
Dumbo the Flying Elephant,2025-02-09,shanghaidisneyresort,24,24
Test Track,2025-02-05,epcot,24,24
Selfie Spot with Princesses ,2025-01-22,shanghaidisneyresort,24,24
Star Wars Launch Bay Theater,2025-01-30,disneyhollywoodstudios,24,24
Roaring Rapids,2025-02-07,shanghaidisneyresort,23,23
Explorer Canoes,2025-02-07,shanghaidisneyresort,23,23
The Hall of Presidents,2025-02-06,disneymagickingdom,24,24
Main Street Vehicles,2025-01-28,disneymagickingdom,23,23
Test Track,2025-02-04,epcot,22,22
Selfie Spot with Disney Jungle Characters ,2025-02-03,shanghaidisneyresort,24,24
Remy's Ratatouille Adventure Single Rider,2025-01-28,epcot,23,23
The Hall of Presidents,2025-01-28,disneymagickingdom,23,23
"TRON Realm, Chevrolet Digital Challenge",2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Princesses ,2025-02-03,shanghaidisneyresort,24,24
Astro Orbiter,2025-01-27,disneymagickingdom,24,24
Zootopia: Hot Pursuit,2025-02-09,shanghaidisneyresort,24,24
Astro Orbiter,2025-02-07,disneymagickingdom,23,23
Selfie Spot with Disney Jungle Characters ,2025-02-02,shanghaidisneyresort,24,24
Fantasia Carousel,2025-02-09,shanghaidisneyresort,24,24
Kali River Rapids,2025-02-06,animalkingdom,24,24
Gran Fiesta Tour Starring The Three Caballeros,2025-02-04,epcot,22,22
Selfie Spot with Disney Jungle Characters ,2025-01-23,shanghaidisneyresort,24,24
Seven Dwarfs Mine Train,2025-02-09,shanghaidisneyresort,24,24
The Hall of Presidents,2025-02-08,disneymagickingdom,24,24
Selfie Spot with Mickey ,2025-02-09,shanghaidisneyresort,24,24
Peter Pan’s Flight,2025-02-09,shanghaidisneyresort,24,24
Big Thunder Mountain Railroad,2025-02-07,disneymagickingdom,23,23
Astro Orbiter,2025-02-05,disneymagickingdom,24,24
Main Street Vehicles,2025-01-27,disneymagickingdom,24,24
Alice in Wonderland Maze,2025-02-09,shanghaidisneyresort,24,24
Big Thunder Mountain Railroad,2025-01-28,disneymagickingdom,23,23
Stitch Encounter,2025-02-09,shanghaidisneyresort,24,24
The Hall of Presidents,2025-02-05,disneymagickingdom,24,24
Vista Trail at Camp Discovery,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Princesses ,2025-02-04,shanghaidisneyresort,22,22
The Hall of Presidents,2025-02-07,disneymagickingdom,23,23
Big Thunder Mountain Railroad,2025-01-27,disneymagickingdom,24,24
Rex’s Racer,2025-02-04,shanghaidisneyresort,22,22
Selfie Spot with Disney Jungle Characters ,2025-02-08,shanghaidisneyresort,24,24
Selfie Spot with Mickey ,2025-01-26,shanghaidisneyresort,24,24
Selfie Spot with Disney Jungle Characters ,2025-02-09,shanghaidisneyresort,24,24
Kali River Rapids,2025-02-07,animalkingdom,23,23
Big Thunder Mountain Railroad,2025-02-06,disneymagickingdom,24,24
Selfie Spot with Disney Jungle Characters ,2025-02-05,shanghaidisneyresort,24,24
Test Track,2025-01-29,epcot,24,24
Selfie Spot with Princesses ,2025-01-30,shanghaidisneyresort,24,24
Roaring Rapids,2025-02-09,shanghaidisneyresort,24,24
Buzz Lightyear Planet Rescue,2025-02-09,shanghaidisneyresort,24,24
Selfie Spot with Princesses ,2025-02-02,shanghaidisneyresort,24,24
